Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,60.29,191.66,16.30,34.47,31.56,47.68,12.03,0.80,9.06,1.98,2.89,1.88,NA,1.32,1.79,NA,81.72,1.07,98.47,NA,0.00,55.89,NA,-0.05
2025-01-02 00:00:00,61.47,183.32,15.69,32.67,30.13,47.57,8.86,1.60,12.56,1.98,3.02,1.62,NA,1.13,1.55,NA,85.21,1.15,84.99,NA,0.00,66.66,NA,-0.24
2025-01-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,79.00,180.20,18.77,35.33,33.42,48.15,16.48,1.41,11.35,2.98,1.60,1.58,NA,1.12,1.84,NA,78.50,1.34,63.10,NA,0.00,116.60,NA,0.01
2025-01-08 00:00:00,83.55,175.73,14.67,34.55,30.30,47.70,12.32,1.68,11.49,2.15,2.75,1.87,NA,1.34,1.81,NA,81.11,0.85,116.56,NA,0.00,64.89,NA,-0.08
2025-01-09 00:00:00,122.42,296.04,15.11,35.58,31.21,47.82,20.26,2.65,19.71,6.40,21.15,5.20,NA,3.50,7.34,NA,83.75,0.80,135.13,NA,0.00,61.05,NA,-0.06
2025-01-10 00:00:00,116.50,282.22,17.99,38.30,35.00,48.08,16.60,2.06,22.01,10.06,39.11,7.07,NA,5.48,11.01,NA,90.44,0.89,185.01,NA,0.00,58.84,NA,-0.03
2025-01-11 00:00:00,81.89,180.72,16.46,35.90,32.47,49.18,8.64,2.61,14.32,4.74,13.53,3.07,NA,2.62,4.39,NA,89.69,1.32,224.81,NA,0.00,56.41,NA,-0.06
2025-01-12 00:00:00,71.01,149.57,17.00,35.47,32.69,49.21,11.52,2.38,14.39,5.42,12.14,2.75,NA,2.09,3.69,NA,88.76,0.93,123.44,NA,0.00,43.88,NA,-0.08
2025-01-13 00:00:00,69.24,139.06,16.77,34.76,32.13,49.59,11.52,2.18,14.35,4.18,9.69,2.38,NA,1.92,3.25,NA,85.44,1.17,57.99,NA,0.00,71.33,NA,-0.06
2025-01-14 00:00:00,78.61,175.34,16.79,34.46,31.98,49.98,11.49,1.96,14.22,5.16,13.82,3.03,NA,2.21,4.31,NA,81.68,0.96,87.22,NA,0.00,72.90,NA,-0.05
2025-01-15 00:00:00,117.10,273.56,19.51,31.38,32.55,50.28,11.69,2.07,14.39,11.94,40.31,7.19,NA,5.33,11.29,NA,92.68,0.97,206.44,NA,0.00,49.75,NA,-0.03
2025-01-16 00:00:00,80.94,174.32,17.26,32.75,31.46,50.67,9.67,1.51,14.45,3.80,8.54,1.93,NA,1.77,2.58,NA,89.18,0.90,177.56,NA,0.00,24.86,NA,-0.11
2025-01-17 00:00:00,62.80,140.49,20.01,6.51,18.68,34.22,41.60,1.89,14.22,3.74,10.27,2.08,NA,1.69,2.67,NA,84.66,1.32,79.57,NA,0.00,50.62,NA,-0.04
2025-01-18 00:00:00,75.15,154.76,17.56,3.85,15.32,34.51,45.24,1.43,14.30,3.12,5.95,1.69,NA,1.35,2.13,NA,85.79,0.96,137.95,NA,0.00,62.10,NA,-0.06
2025-01-19 00:00:00,117.77,258.19,16.38,26.51,23.31,34.77,32.77,2.20,14.31,8.80,20.88,5.29,NA,3.39,7.54,NA,78.08,0.81,126.40,NA,0.00,67.85,NA,-0.09
2025-01-20 00:00:00,81.90,170.34,14.36,25.53,25.26,35.13,8.50,1.96,14.28,8.13,14.46,7.24,NA,3.09,8.20,NA,68.25,1.14,64.78,NA,0.00,74.37,NA,-0.12
2025-01-21 00:00:00,83.26,163.79,13.68,26.72,25.34,35.20,8.05,1.95,14.88,2.55,4.23,1.39,NA,0.85,1.79,NA,61.20,1.25,60.89,NA,0.00,73.88,NA,-0.12
2025-01-22 00:00:00,87.08,158.88,13.41,27.62,25.58,36.58,8.70,2.33,21.10,4.05,18.20,2.74,NA,1.33,4.34,NA,68.35,0.93,99.93,NA,0.00,73.04,NA,-0.13
2025-01-23 00:00:00,83.64,169.72,12.60,29.08,25.66,38.91,10.35,2.07,10.43,5.22,35.79,3.75,NA,1.99,6.02,NA,62.47,1.08,116.88,NA,0.00,76.41,NA,-0.12
2025-01-24 00:00:00,80.36,147.97,11.62,29.78,25.30,38.79,5.88,1.83,10.09,3.37,7.49,1.94,NA,1.15,2.82,NA,51.20,1.29,65.26,NA,0.00,85.32,NA,-0.02
2025-01-25 00:00:00,83.92,162.49,12.19,29.71,25.72,39.17,4.23,1.86,10.29,6.74,19.26,3.34,NA,1.86,5.50,NA,41.09,1.24,45.96,NA,0.00,81.92,NA,-0.03
2025-01-26 00:00:00,90.44,165.66,11.85,28.92,25.02,38.62,2.34,2.13,10.26,4.33,9.08,2.51,NA,1.26,3.86,NA,46.86,1.04,79.16,NA,0.00,82.71,NA,-0.08
2025-01-27 00:00:00,91.21,190.65,11.95,29.49,25.40,38.35,6.15,2.10,10.28,4.90,11.96,2.88,NA,1.49,4.63,NA,48.95,1.08,91.12,NA,0.00,82.43,NA,-0.09
2025-01-28 00:00:00,98.23,197.46,12.64,28.75,25.57,38.71,12.78,2.55,10.53,8.46,19.66,3.99,NA,2.02,6.60,NA,52.95,0.92,85.83,NA,0.00,78.72,NA,-0.07
2025-01-29 00:00:00,122.10,260.18,13.46,33.38,28.40,42.58,18.03,2.29,17.12,8.18,24.46,4.75,NA,4.13,8.59,NA,70.06,1.07,194.75,NA,0.00,79.14,NA,-0.01
2025-01-30 00:00:00,102.29,199.48,12.68,38.10,30.57,48.87,9.33,1.89,23.51,5.20,25.80,3.73,NA,4.91,6.77,NA,74.19,1.16,196.03,NA,0.00,72.56,NA,-0.09
2025-01-31 00:00:00,111.06,220.30,14.01,36.22,30.65,46.50,13.82,2.32,34.78,7.54,30.40,5.04,NA,5.77,9.60,NA,67.82,0.97,174.49,NA,0.00,82.81,NA,-0.09
2025-02-01 00:00:00,136.78,317.37,14.09,38.91,32.14,48.47,25.39,2.64,12.57,9.35,12.86,4.24,NA,4.25,6.42,NA,78.22,0.96,128.48,NA,0.00,61.69,NA,-0.10
2025-02-02 00:00:00,97.68,189.78,12.19,38.41,30.33,49.23,20.18,1.35,12.63,3.95,8.69,2.05,NA,2.23,3.17,NA,77.73,1.19,78.07,NA,0.00,66.55,NA,-0.04
2025-02-03 00:00:00,86.72,173.09,12.62,38.69,30.83,48.99,20.33,1.63,27.71,4.18,9.88,2.65,NA,2.72,4.68,NA,69.75,0.99,102.32,NA,0.00,81.15,NA,-0.03
2025-02-04 00:00:00,97.27,199.71,12.87,37.12,30.20,49.05,26.16,2.14,14.89,5.27,12.79,3.02,NA,3.01,5.31,NA,63.26,0.87,175.99,NA,0.00,63.50,NA,-0.06
2025-02-05 00:00:00,87.67,141.19,11.70,40.45,30.88,46.07,14.22,1.19,20.50,3.38,7.12,1.98,NA,2.20,3.11,NA,52.45,1.31,74.70,NA,0.00,90.43,NA,0.01
2025-02-06 00:00:00,85.33,146.05,11.54,38.31,29.49,42.19,17.05,1.53,14.85,3.04,6.26,1.87,NA,1.89,2.87,NA,44.66,1.67,92.18,NA,0.00,86.81,NA,0.03
2025-02-07 00:00:00,60.68,117.87,11.92,39.88,30.90,42.62,16.46,0.87,13.29,3.02,5.74,1.91,NA,1.87,2.92,NA,36.80,1.59,72.06,NA,0.00,86.01,NA,-0.01
2025-02-08 00:00:00,65.83,129.87,12.62,37.79,30.34,43.51,16.54,1.28,18.42,7.17,16.32,3.70,NA,4.19,6.51,NA,35.32,1.28,69.92,NA,0.00,110.03,NA,-0.02
2025-02-09 00:00:00,83.43,157.97,12.21,38.41,30.36,42.56,23.58,1.61,25.57,5.91,15.61,3.42,NA,3.37,6.07,NA,48.22,0.91,96.41,NA,0.00,81.40,NA,-0.06
2025-02-10 00:00:00,86.21,167.55,12.06,38.47,30.28,42.23,21.07,1.67,27.00,5.71,17.81,3.92,NA,3.86,7.06,NA,53.44,0.80,124.32,NA,0.00,78.06,NA,-0.08
2025-02-11 00:00:00,98.72,203.06,14.05,36.67,30.93,41.84,24.78,1.87,26.63,7.76,18.29,4.65,NA,5.17,8.78,NA,56.92,0.84,151.72,NA,0.00,84.52,NA,-0.08
2025-02-12 00:00:00,76.33,153.88,12.43,38.16,30.41,42.38,29.83,1.45,27.39,5.53,15.36,3.27,NA,3.41,5.70,NA,44.13,1.52,94.69,NA,0.00,97.62,NA,-0.03
2025-02-13 00:00:00,64.67,113.04,11.35,37.87,29.36,42.03,14.50,1.18,26.60,2.72,4.39,1.61,NA,1.52,2.31,NA,37.11,1.66,74.98,NA,0.00,92.77,NA,-0.02
2025-02-14 00:00:00,43.57,114.18,11.61,39.57,30.49,41.71,7.87,1.19,26.43,2.84,5.44,2.08,NA,2.02,3.31,NA,31.72,1.41,65.29,NA,0.00,85.83,NA,-0.07
2025-02-15 00:00:00,44.31,144.11,12.62,38.77,30.88,42.44,1.59,1.41,34.48,4.79,8.91,2.58,NA,2.30,4.32,NA,42.41,1.00,116.86,NA,0.00,76.63,NA,-0.12
2025-02-16 00:00:00,65.18,212.53,12.67,37.67,30.25,42.39,1.85,1.80,33.14,5.78,11.61,2.98,NA,3.12,5.02,NA,57.02,0.87,164.64,NA,0.00,74.80,NA,-0.09
2025-02-17 00:00:00,55.17,197.24,11.44,37.61,29.55,41.50,1.71,1.64,40.64,4.20,5.37,2.07,NA,1.99,3.16,NA,59.48,0.71,184.49,NA,0.00,102.81,NA,0.01
2025-02-18 00:00:00,56.15,123.84,11.66,38.55,29.97,40.52,1.47,1.44,34.46,4.99,12.65,2.69,NA,3.31,4.53,NA,43.77,0.96,114.61,NA,0.00,89.57,NA,-0.01
2025-02-19 00:00:00,79.84,138.04,11.59,38.93,30.11,40.68,0.99,2.09,38.62,4.11,10.90,2.37,NA,2.75,3.80,NA,42.14,1.03,105.16,NA,0.00,82.51,NA,-0.06
2025-02-20 00:00:00,78.84,148.56,12.49,37.94,30.28,41.37,1.41,2.11,41.44,3.79,12.08,2.46,NA,3.12,3.98,NA,56.39,1.43,220.12,NA,0.00,76.31,NA,-0.07
2025-02-21 00:00:00,74.92,127.35,11.86,40.38,31.10,41.67,1.13,2.05,41.69,3.07,7.47,1.52,NA,1.55,2.09,NA,58.27,1.15,138.61,NA,0.00,77.49,NA,-0.02
2025-02-22 00:00:00,65.00,85.65,11.47,39.85,30.43,41.41,0.89,1.99,41.49,2.63,4.93,1.49,NA,1.47,2.07,NA,60.06,1.33,76.64,NA,0.00,94.57,NA,0.01
2025-02-23 00:00:00,65.00,105.07,11.57,39.55,30.45,41.80,0.86,2.00,41.67,2.86,7.74,1.67,NA,1.69,2.41,NA,51.65,1.14,84.71,NA,0.00,87.20,NA,0.01
2025-02-24 00:00:00,65.00,118.34,11.12,37.64,28.95,41.00,1.02,1.92,41.45,2.89,5.36,1.66,NA,1.64,2.43,NA,54.12,1.06,101.31,NA,0.00,87.67,NA,0.04
2025-02-25 00:00:00,67.25,128.05,12.21,41.09,31.68,40.74,9.13,2.11,41.66,4.27,12.92,2.41,NA,2.79,3.95,NA,52.96,0.80,131.61,NA,0.00,84.33,NA,0.06
2025-02-26 00:00:00,125.46,204.33,18.79,30.14,31.66,41.14,37.66,3.14,42.30,13.88,42.94,10.10,NA,10.16,21.34,NA,51.36,0.87,199.99,NA,0.00,80.35,NA,-0.03
2025-02-27 00:00:00,89.51,147.39,15.50,30.82,28.75,40.39,33.87,2.41,38.21,5.06,17.09,4.28,NA,4.49,7.61,NA,63.17,1.16,186.06,NA,0.00,46.20,NA,-0.12
2025-02-28 00:00:00,74.56,121.43,11.78,40.87,31.23,40.85,27.25,2.68,33.85,2.57,6.87,1.65,NA,2.01,2.40,NA,64.00,1.46,244.77,NA,0.00,58.61,NA,-0.13
2025-03-01 00:00:00,66.95,109.26,11.87,39.81,30.82,41.87,26.61,2.26,32.65,2.92,4.37,1.45,NA,1.52,2.13,NA,69.48,1.19,183.46,NA,0.00,71.45,NA,-0.09
2025-03-02 00:00:00,79.33,128.29,11.87,39.38,30.59,42.53,10.39,2.03,27.00,2.90,4.20,1.48,NA,1.36,2.09,NA,50.08,1.46,98.69,NA,0.00,99.68,NA,-0.07
2025-03-03 00:00:00,75.09,132.58,11.62,38.01,29.66,41.85,10.19,1.85,25.62,3.02,6.32,1.87,NA,2.09,2.70,NA,36.14,1.01,180.01,NA,0.00,92.47,NA,-0.11
2025-03-04 00:00:00,60.26,133.84,12.40,38.65,30.71,41.76,14.98,0.80,26.76,2.67,4.24,1.39,NA,1.51,1.88,NA,46.88,1.64,130.29,NA,0.00,95.54,NA,-0.07
2025-03-05 00:00:00,43.17,98.21,13.03,38.64,30.75,42.27,12.02,0.87,27.04,2.10,3.17,1.16,NA,1.04,1.49,NA,36.33,1.99,79.10,NA,0.00,104.57,NA,-0.04
2025-03-06 00:00:00,49.56,103.84,13.53,38.10,31.10,42.94,12.73,0.85,27.42,4.75,10.18,2.39,NA,2.86,3.95,NA,29.10,1.36,86.68,NA,0.00,102.81,NA,-0.09
2025-03-07 00:00:00,71.97,144.40,13.72,37.08,30.90,42.78,14.26,1.04,26.17,5.13,12.67,2.47,NA,2.75,4.06,NA,40.55,1.11,94.03,NA,0.00,95.57,NA,-0.11
2025-03-08 00:00:00,61.71,115.36,12.38,37.75,30.14,41.07,11.63,1.12,27.06,4.15,9.25,2.03,NA,1.98,3.12,NA,40.87,1.21,71.11,NA,0.00,102.88,NA,-0.10
2025-03-09 00:00:00,55.68,168.76,12.89,37.60,30.47,39.51,12.51,1.12,26.49,5.56,18.59,3.67,NA,3.91,5.84,NA,47.39,1.12,223.82,NA,0.00,94.52,NA,-0.03
2025-03-10 00:00:00,40.93,159.16,12.65,39.92,31.51,41.28,13.46,1.23,24.96,3.59,6.19,2.16,NA,2.19,2.54,NA,42.57,1.55,235.98,NA,0.00,88.62,NA,-0.02
2025-03-11 00:00:00,106.30,218.98,13.23,36.07,30.61,41.21,13.56,1.42,26.42,4.72,14.98,1.85,NA,2.48,2.63,NA,51.75,0.92,152.86,NA,0.00,76.01,NA,-0.07
2025-03-12 00:00:00,70.08,143.12,11.74,38.04,29.77,40.77,14.52,1.49,27.66,3.06,5.63,1.27,NA,1.35,1.52,NA,43.40,1.19,76.21,NA,0.00,98.29,NA,-0.11
2025-03-13 00:00:00,53.42,152.67,10.36,37.58,28.41,38.92,15.68,1.72,31.96,2.78,3.57,1.22,NA,1.25,1.41,NA,40.61,1.14,158.17,NA,0.00,103.58,NA,-0.08
2025-03-14 00:00:00,48.47,133.74,11.97,39.23,30.60,38.71,15.16,1.35,26.68,3.69,3.59,1.26,NA,1.15,1.49,NA,50.10,0.82,178.99,NA,0.00,84.66,NA,-0.10
2025-03-15 00:00:00,31.85,58.18,11.26,39.57,30.20,39.57,12.66,0.95,26.68,1.79,2.02,1.05,NA,0.81,1.07,NA,47.20,1.91,175.51,NA,0.00,90.11,NA,-0.07
2025-03-16 00:00:00,39.10,79.91,11.44,38.34,29.69,40.12,12.13,1.24,26.60,1.79,2.22,1.02,NA,0.87,1.03,NA,44.32,1.37,103.11,NA,0.00,97.80,NA,-0.06
2025-03-17 00:00:00,40.04,84.06,12.78,39.26,31.27,41.59,14.28,1.33,26.50,2.03,2.80,1.02,NA,0.84,1.05,NA,47.72,1.37,98.07,NA,0.00,94.11,NA,-0.10
2025-03-18 00:00:00,41.10,84.57,12.01,37.89,29.92,40.86,13.37,1.03,26.71,2.14,3.51,1.06,NA,0.96,1.15,NA,41.31,1.32,87.58,NA,0.00,130.23,NA,-0.28
2025-03-19 00:00:00,61.94,109.60,11.53,38.74,29.98,39.74,14.39,0.97,26.49,2.62,3.57,1.17,NA,1.12,1.30,NA,37.65,1.20,113.11,NA,0.00,7.87,NA,-0.44
2025-03-20 00:00:00,48.51,106.25,15.08,32.89,29.76,41.02,13.63,1.33,25.36,2.60,5.09,1.19,NA,1.19,1.39,NA,35.05,1.24,108.01,NA,0.00,96.18,NA,-0.06
2025-03-21 00:00:00,53.46,100.31,20.16,25.98,30.21,41.04,10.88,0.67,27.02,2.43,3.88,1.12,NA,1.04,1.25,NA,34.62,1.26,81.21,NA,0.00,91.63,NA,-0.05
2025-03-22 00:00:00,56.33,117.12,23.57,22.47,30.06,45.93,11.06,0.81,27.54,2.70,4.33,1.18,NA,1.16,1.37,NA,40.74,1.09,123.08,NA,0.00,78.07,NA,-0.11
2025-03-23 00:00:00,62.05,147.89,25.62,24.64,32.58,44.55,12.34,0.89,27.36,2.76,4.04,1.31,NA,1.59,1.68,NA,36.50,0.99,205.87,NA,0.00,86.18,NA,-0.07
2025-03-24 00:00:00,72.14,159.53,25.10,23.16,31.82,46.89,12.33,0.93,27.39,3.67,3.70,1.21,NA,1.13,1.38,NA,36.21,0.97,206.21,NA,0.00,87.01,NA,-0.08
2025-03-25 00:00:00,85.61,195.14,22.16,20.58,28.11,44.36,9.88,1.06,26.44,4.10,7.56,1.26,NA,1.39,1.56,NA,33.20,1.03,163.46,NA,0.00,77.32,NA,-0.13
2025-03-26 00:00:00,81.89,184.89,21.44,23.51,29.89,40.02,7.03,0.97,27.24,3.80,4.24,1.32,NA,1.39,1.64,NA,30.59,1.03,210.54,NA,0.00,75.00,NA,-0.17
2025-03-27 00:00:00,87.16,203.71,25.57,26.94,35.12,39.68,5.64,1.11,26.87,4.65,8.56,1.68,NA,1.96,2.38,NA,31.18,1.03,154.20,NA,0.00,86.93,NA,-0.15
2025-03-28 00:00:00,61.36,159.04,17.57,24.17,27.19,38.69,3.32,0.78,29.55,1.66,2.07,1.00,NA,0.82,0.95,NA,20.76,1.63,85.41,NA,0.00,112.41,NA,-0.04
2025-03-29 00:00:00,54.76,114.92,19.64,26.42,30.16,40.96,3.05,0.43,27.34,1.82,2.04,1.03,NA,0.86,1.05,NA,19.61,1.49,82.19,NA,0.00,82.50,NA,-0.10
2025-03-30 00:00:00,49.30,98.37,21.09,22.13,28.72,45.20,3.07,0.50,27.16,1.88,2.31,1.04,NA,0.85,1.12,NA,18.58,1.39,89.74,NA,0.00,87.17,NA,-0.09
2025-03-31 00:00:00,54.84,105.11,24.80,23.03,31.30,47.05,4.04,1.00,27.53,1.98,2.37,1.04,NA,0.88,1.11,NA,19.34,1.20,81.46,NA,0.00,88.51,NA,-0.12
2025-04-01 00:00:00,53.20,107.86,25.44,21.01,30.59,49.56,4.72,0.89,24.42,1.92,3.74,1.05,NA,0.90,1.12,NA,17.40,1.16,86.97,NA,0.00,61.45,NA,-0.19
2025-04-02 00:00:00,66.67,151.30,25.04,21.76,31.45,48.25,4.70,1.13,26.36,2.39,4.31,1.24,NA,1.21,1.52,NA,21.84,0.94,120.29,NA,0.00,80.55,NA,-0.15
2025-04-03 00:00:00,73.35,177.85,22.57,19.34,27.36,47.79,5.34,1.31,27.07,3.55,4.93,1.41,NA,1.47,1.79,NA,20.07,1.04,220.66,NA,0.00,78.88,NA,-0.14
2025-04-04 00:00:00,64.43,165.03,23.04,27.08,32.74,40.38,3.09,1.21,27.68,3.05,6.28,1.44,NA,1.58,1.82,NA,17.33,1.09,101.39,NA,0.00,80.87,NA,-0.10
2025-04-05 00:00:00,58.73,116.39,25.38,25.50,34.12,47.32,4.75,0.60,27.53,2.17,3.16,1.14,NA,1.06,1.33,NA,20.65,1.23,84.42,NA,0.00,81.85,NA,-0.15
2025-04-06 00:00:00,72.64,154.16,25.12,20.10,29.39,48.89,6.18,1.40,26.70,2.60,3.92,1.22,NA,1.18,1.43,NA,23.90,0.99,133.39,NA,0.00,73.37,NA,-0.22
2025-04-07 00:00:00,83.99,199.66,32.73,20.72,31.64,44.66,8.91,1.56,27.01,4.93,7.13,1.78,NA,1.81,2.51,NA,28.04,0.83,205.06,NA,0.00,78.37,NA,-0.17
2025-04-08 00:00:00,83.82,196.54,21.08,21.43,28.34,44.80,7.35,0.99,27.73,2.59,3.30,1.14,NA,1.19,1.29,NA,25.87,1.15,229.86,NA,0.00,74.60,NA,-0.12
2025-04-09 00:00:00,78.68,199.10,20.69,21.46,27.84,44.57,5.82,1.66,25.62,2.44,3.15,1.10,NA,1.07,1.23,NA,31.39,1.27,240.34,NA,0.00,63.17,NA,-0.19
2025-04-10 00:00:00,68.17,201.92,19.08,25.04,28.57,40.37,2.67,1.15,26.45,2.05,2.72,1.05,NA,1.01,1.13,NA,29.62,1.15,207.85,NA,0.00,68.21,NA,-0.25
2025-04-11 00:00:00,44.10,136.31,19.16,26.64,29.75,40.18,2.05,1.22,27.83,1.68,1.90,0.97,NA,0.84,0.92,NA,50.75,2.14,234.28,NA,0.00,87.50,NA,-0.19
2025-04-12 00:00:00,45.15,85.88,20.92,27.38,30.80,42.32,5.52,1.19,28.42,1.94,1.94,0.97,NA,0.85,0.95,NA,45.13,1.26,211.64,NA,0.00,97.26,NA,-0.11
2025-04-13 00:00:00,61.65,106.79,21.94,21.93,29.39,44.16,9.40,1.04,33.53,2.17,2.36,1.07,NA,0.96,1.16,NA,30.57,0.81,154.32,NA,0.00,99.75,NA,-0.13
2025-04-14 00:00:00,64.65,144.55,22.62,19.71,28.80,43.62,9.83,1.38,27.44,2.72,7.13,1.37,NA,1.36,1.73,NA,36.17,1.29,232.83,NA,0.00,78.75,NA,-0.14
2025-04-15 00:00:00,60.29,133.22,22.92,26.76,31.79,45.89,8.46,0.83,27.84,2.06,4.03,1.10,NA,1.14,1.21,NA,31.62,1.19,250.75,NA,0.00,84.49,NA,-0.14
2025-04-16 00:00:00,58.92,161.40,21.17,26.36,30.14,41.61,9.25,1.98,26.61,2.47,4.92,1.24,NA,1.40,1.51,NA,33.16,1.20,213.06,NA,0.00,77.48,NA,-0.17
2025-04-17 00:00:00,89.27,171.29,14.85,29.80,25.92,28.53,6.96,1.37,22.90,2.54,2.92,1.12,NA,1.11,1.28,NA,29.71,1.33,205.15,NA,0.00,72.45,NA,-0.17
2025-04-18 00:00:00,74.03,179.87,18.16,28.72,29.69,46.03,10.19,0.72,21.15,1.84,2.44,0.98,NA,0.97,0.99,NA,40.08,1.55,244.62,NA,0.00,76.69,NA,-0.24
2025-04-19 00:00:00,51.20,115.38,18.33,31.30,30.61,47.87,12.07,0.04,21.30,1.54,2.13,0.94,NA,0.85,0.90,NA,44.93,2.08,265.26,NA,0.00,82.00,NA,-0.27
2025-04-20 00:00:00,61.14,127.77,17.69,28.97,29.76,43.41,8.67,0.65,20.94,1.60,1.68,0.93,NA,0.81,0.91,NA,41.76,1.77,259.45,NA,0.00,74.92,NA,-0.25
2025-04-21 00:00:00,82.15,175.17,17.92,29.81,30.09,57.76,6.68,0.75,19.68,2.12,2.47,1.17,NA,1.12,1.22,NA,25.88,1.13,209.53,NA,0.00,83.04,NA,-0.16
2025-04-22 00:00:00,99.53,179.27,18.06,26.91,29.06,43.82,7.45,0.80,21.49,1.45,1.59,0.94,NA,0.75,0.87,NA,8.44,1.00,106.08,NA,0.00,87.65,NA,-0.17
2025-04-23 00:00:00,84.11,175.33,19.12,34.36,32.62,46.82,7.64,0.90,20.78,1.59,2.16,0.96,NA,0.79,0.91,NA,7.56,1.12,85.24,NA,0.00,82.41,NA,-0.22
2025-04-24 00:00:00,80.07,165.57,21.31,29.19,32.54,46.50,7.93,0.91,22.72,1.82,2.14,1.01,NA,0.84,1.02,NA,10.32,0.81,132.61,NA,0.00,95.35,NA,-0.23
2025-04-25 00:00:00,98.98,208.30,27.14,24.71,31.80,45.07,12.33,0.87,21.21,2.66,4.40,1.31,NA,1.32,1.64,NA,16.80,0.87,154.35,NA,0.00,84.21,NA,-0.24
2025-04-26 00:00:00,87.17,182.58,22.58,23.86,30.41,46.05,11.27,0.85,21.59,2.23,2.16,1.03,NA,0.90,1.04,NA,15.36,1.09,207.36,NA,0.00,82.48,NA,-0.26
2025-04-27 00:00:00,91.53,192.30,18.65,30.75,31.53,46.44,8.48,0.69,21.23,1.29,1.20,0.91,NA,0.68,0.80,NA,12.46,1.01,172.22,NA,0.00,84.95,NA,-0.25
2025-04-28 00:00:00,109.27,231.73,18.68,28.82,30.50,47.46,11.76,0.86,21.20,1.52,1.79,0.93,NA,0.78,0.87,NA,24.72,1.17,239.00,NA,0.00,77.08,NA,-0.26
2025-04-29 00:00:00,84.57,176.04,18.48,30.43,31.04,46.44,8.56,1.47,20.59,1.54,2.24,0.92,NA,0.77,0.88,NA,35.29,1.62,247.33,NA,0.00,78.23,NA,-0.25
2025-04-30 00:00:00,74.26,167.62,17.95,22.61,25.89,40.65,7.67,2.09,20.18,2.26,3.56,1.46,NA,1.40,1.46,NA,37.60,1.51,255.53,NA,0.00,80.42,NA,-0.22
2025-05-01 00:00:00,79.89,168.02,18.12,18.12,22.69,35.99,6.32,1.05,23.06,2.58,4.12,1.90,NA,1.77,1.85,NA,38.48,1.82,258.10,NA,0.00,89.83,NA,-0.15
2025-05-02 00:00:00,13.98,84.38,20.32,18.22,26.06,41.34,8.08,1.03,27.61,2.86,6.08,2.22,NA,2.20,2.47,NA,72.26,0.97,182.09,NA,0.00,124.20,NA,-0.47
2025-05-03 00:00:00,46.37,164.99,17.67,13.94,18.57,38.05,8.77,1.63,20.06,3.28,5.86,2.11,NA,2.23,2.26,NA,63.26,1.06,222.35,NA,0.00,50.80,NA,-0.62
2025-05-04 00:00:00,55.00,182.32,18.94,17.76,22.39,38.18,9.44,1.61,15.59,3.66,5.44,2.12,NA,2.11,2.27,NA,50.30,1.05,212.01,NA,0.00,50.80,NA,-0.65
2025-05-05 00:00:00,24.73,109.96,18.90,14.06,19.86,43.33,8.35,2.26,15.42,2.50,3.77,1.93,NA,1.81,1.88,NA,51.35,1.45,218.87,NA,0.00,50.80,NA,-0.63
2025-05-06 00:00:00,40.60,135.91,19.37,16.14,22.74,42.35,8.82,1.17,15.30,2.91,5.20,2.03,NA,2.05,2.10,NA,47.36,1.24,243.15,NA,0.00,50.80,NA,-0.62
2025-05-07 00:00:00,58.07,129.03,18.84,12.26,19.82,41.85,9.25,2.13,15.61,2.63,4.41,1.99,NA,1.86,2.01,NA,59.30,1.21,232.24,NA,0.00,50.80,NA,-0.64
2025-05-08 00:00:00,70.96,150.63,19.23,14.64,20.97,40.97,10.24,1.80,15.41,3.47,4.65,2.14,NA,1.99,2.32,NA,58.17,1.06,180.80,NA,0.00,50.80,NA,-0.63
2025-05-09 00:00:00,67.82,129.22,15.41,29.48,26.57,31.93,8.38,1.65,14.77,3.07,6.25,2.12,NA,2.13,2.33,NA,51.03,1.20,191.46,NA,0.00,50.80,NA,-0.59
2025-05-10 00:00:00,95.55,155.76,15.43,90.75,85.01,14.07,10.32,1.65,15.58,3.94,5.87,2.20,NA,2.29,2.41,NA,52.66,1.00,182.60,NA,0.00,50.80,NA,-0.62
